t,coop_rate,avg_payoff,payoff_gini,strategy_mean,strategy_std,persuasion_rate,avg_shift,n_targeted,topo,seed,label
0,0.5,11.466666666666667,0.42189922480620157,0.47228902077209606,0.12407823453929241,0,0,0,scale_free,42,No influence (baseline)
1,0.4,10.333333333333334,0.48838709677419356,0.46361433827944454,0.12837203593283045,0,0,0,scale_free,42,No influence (baseline)
2,0.43333333333333335,10.9,0.47370030581039757,0.4599806176859112,0.1301022393529027,0,0,0,scale_free,42,No influence (baseline)
3,0.23333333333333334,11.2,0.21388888888888888,0.43278294356360175,0.1203338377472519,0,0,0,scale_free,42,No influence (baseline)
4,0.3333333333333333,10.6,0.40545073375262053,0.4208489903359696,0.13476251072226816,0,0,0,scale_free,42,No influence (baseline)
5,0.3,10.0,0.45311111111111113,0.4063471114956532,0.14614028794717215,0,0,0,scale_free,42,No influence (baseline)
6,0.3333333333333333,10.166666666666666,0.5397814207650273,0.3975854581161749,0.14230562829578738,0,0,0,scale_free,42,No influence (baseline)
7,0.3333333333333333,9.766666666666667,0.5243458475540387,0.3898752031422339,0.13720407266600612,0,0,0,scale_free,42,No influence (baseline)
8,0.26666666666666666,9.7,0.43424971363115694,0.37509017876516576,0.1278132570852231,0,0,0,scale_free,42,No influence (baseline)
9,0.3333333333333333,10.866666666666667,0.3443762781186094,0.37007935731334585,0.11449649652093048,0,0,0,scale_free,42,No influence (baseline)
10,0.26666666666666666,10.366666666666667,0.2952840300107181,0.35766983443574435,0.12931147107066596,0,0,0,scale_free,42,No influence (baseline)
11,0.3333333333333333,9.9,0.46835016835016835,0.35474945430345506,0.14005782115073734,0,0,0,scale_free,42,No influence (baseline)
12,0.26666666666666666,8.8,0.4345959595959596,0.34417951978704053,0.1353862199289661,0,0,0,scale_free,42,No influence (baseline)
13,0.2,8.3,0.436813922356091,0.3268779774125956,0.1447832877084172,0,0,0,scale_free,42,No influence (baseline)
14,0.16666666666666666,9.266666666666667,0.313189448441247,0.30765262012308414,0.1394453612151498,0,0,0,scale_free,42,No influence (baseline)
15,0.23333333333333334,7.866666666666666,0.518361581920904,0.29873430570831405,0.14373319082044697,0,0,0,scale_free,42,No influence (baseline)
16,0.26666666666666666,7.9,0.5832630098452883,0.29488618902331637,0.1426088944422086,0,0,0,scale_free,42,No influence (baseline)
17,0.26666666666666666,10.1,0.3616061606160616,0.29149984634051834,0.13195455722890034,0,0,0,scale_free,42,No influence (baseline)
18,0.16666666666666666,8.733333333333333,0.43435114503816796,0.27651986477965623,0.12185658058190475,0,0,0,scale_free,42,No influence (baseline)
19,0.26666666666666666,8.0,0.5644444444444444,0.2753374810060974,0.12900635584387282,0,0,0,scale_free,42,No influence (baseline)
20,0.26666666666666666,8.933333333333334,0.4699004975124378,0.2742969832853657,0.11453360921066141,0,0,0,scale_free,42,No influence (baseline)
21,0.3333333333333333,11.9,0.26134453781512607,0.2813813452911218,0.11865920630111068,0,0,0,scale_free,42,No influence (baseline)
22,0.43333333333333335,10.4,0.5164529914529915,0.29961558385618725,0.14027123296282842,0,0,0,scale_free,42,No influence (baseline)
23,0.23333333333333334,7.933333333333334,0.5198879551820729,0.2916617137934448,0.13498610014645632,0,0,0,scale_free,42,No influence (baseline)
24,0.2,8.966666666666667,0.4739776951672863,0.28066230813823145,0.13419870706763956,0,0,0,scale_free,42,No influence (baseline)
25,0.23333333333333334,7.833333333333333,0.5314893617021277,0.2749828311616437,0.1413253317482535,0,0,0,scale_free,42,No influence (baseline)
26,0.1,7.166666666666667,0.37410852713178294,0.2539848914222464,0.13875551314804022,0,0,0,scale_free,42,No influence (baseline)
27,0.23333333333333334,9.4,0.367612293144208,0.25150670445157686,0.12931003594371646,0,0,0,scale_free,42,No influence (baseline)
28,0.23333333333333334,9.366666666666667,0.467497034400949,0.24932589991738763,0.13059679149354567,0,0,0,scale_free,42,No influence (baseline)
29,0.3,10.266666666666667,0.4655844155844156,0.2554067919273011,0.1292925622146023,0,0,0,scale_free,42,No influence (baseline)
30,0.2,8.4,0.4354497354497355,0.24875797689602494,0.12604206894163394,0,0,0,scale_free,42,No influence (baseline)
31,0.2,8.666666666666666,0.43666666666666665,0.24290701966850195,0.11117861622294822,0,0,0,scale_free,42,No influence (baseline)
32,0.26666666666666666,10.8,0.3267489711934156,0.24575817730828173,0.10709516654652546,0,0,0,scale_free,42,No influence (baseline)
33,0.3,9.566666666666666,0.410801393728223,0.25226719603128794,0.11463889766937738,0,0,0,scale_free,42,No influence (baseline)
34,0.4,11.533333333333333,0.4348747591522158,0.2699951325075334,0.10900102854494147,0,0,0,scale_free,42,No influence (baseline)
35,0.23333333333333334,9.633333333333333,0.3408304498269896,0.26559571660662934,0.1139313833785511,0,0,0,scale_free,42,No influence (baseline)
36,0.26666666666666666,9.333333333333334,0.4878571428571429,0.2657242306138338,0.12227145596453655,0,0,0,scale_free,42,No influence (baseline)
37,0.3,9.3,0.45197132616487457,0.26983732294017376,0.11943830104899297,0,0,0,scale_free,42,No influence (baseline)
