t,coop_rate,avg_exposure,avg_prosocial,topo,seed,label
0,0.7333333333333333,0.0,0.4284579599870073,scale_free,42,No influence (idealized)
1,0.5666666666666667,0.0,0.42827088785406386,scale_free,42,No influence (idealized)
2,0.7333333333333333,0.0,0.4347560945517753,scale_free,42,No influence (idealized)
3,0.5666666666666667,0.0,0.4343800783818887,scale_free,42,No influence (idealized)
4,0.6333333333333333,0.0,0.4366820093637653,scale_free,42,No influence (idealized)
5,0.6,0.0,0.4375815490828524,scale_free,42,No influence (idealized)
6,0.6,0.0,0.4384541026103667,scale_free,42,No influence (idealized)
7,0.7,0.0,0.44330047953205576,scale_free,42,No influence (idealized)
8,0.8,0.0,0.4520014651460941,scale_free,42,No influence (idealized)
9,0.7666666666666667,0.0,0.459108087858378,scale_free,42,No influence (idealized)
10,0.4666666666666667,0.0,0.4540015118892933,scale_free,42,No influence (idealized)
11,0.6666666666666666,0.0,0.45704813319928117,scale_free,42,No influence (idealized)
12,0.6333333333333333,0.0,0.4586700225366361,scale_free,42,No influence (idealized)
13,0.6,0.0,0.45890992186053686,scale_free,42,No influence (idealized)
14,0.5,0.0,0.45514262420472085,scale_free,42,No influence (idealized)
15,0.6,0.0,0.4554883454785792,scale_free,42,No influence (idealized)
16,0.7666666666666667,0.0,0.4624903617808885,scale_free,42,No influence (idealized)
17,0.7333333333333333,0.0,0.4679489842607953,scale_free,42,No influence (idealized)
18,0.8333333333333334,0.0,0.47724384806630465,scale_free,42,No influence (idealized)
19,0.7666666666666667,0.0,0.4835931992909821,scale_free,42,No influence (idealized)
20,0.8333333333333334,0.0,0.49241873664558605,scale_free,42,No influence (idealized)
21,0.6666666666666666,0.0,0.4943128412128851,scale_free,42,No influence (idealized)
22,0.6333333333333333,0.0,0.49481678930983186,scale_free,42,No influence (idealized)
23,0.6,0.0,0.4939722856305369,scale_free,42,No influence (idealized)
24,0.7,0.0,0.49715311706162085,scale_free,42,No influence (idealized)
25,0.8,0.0,0.5042385235497723,scale_free,42,No influence (idealized)
26,0.7333333333333333,0.0,0.5084447011766123,scale_free,42,No influence (idealized)
27,0.7666666666666667,0.0,0.5138580268079808,scale_free,42,No influence (idealized)
28,0.7333333333333333,0.0,0.5177756193370746,scale_free,42,No influence (idealized)
29,0.8666666666666667,0.0,0.5269090174236291,scale_free,42,No influence (idealized)
30,0.6,0.0,0.5251017469009202,scale_free,42,No influence (idealized)
31,0.5333333333333333,0.0,0.5206820278272258,scale_free,42,No influence (idealized)
32,0.6666666666666666,0.0,0.5217282336590757,scale_free,42,No influence (idealized)
33,0.6666666666666666,0.0,0.52274305331597,scale_free,42,No influence (idealized)
34,0.6333333333333333,0.0,0.5223940950498245,scale_free,42,No influence (idealized)
35,0.6,0.0,0.5207222721983296,scale_free,42,No influence (idealized)
36,0.6666666666666666,0.0,0.5217672706990464,scale_free,42,No influence (idealized)
37,0.6333333333333333,0.0,0.5214475859114084,scale_free,42,No influence (idealized)
38,0.6,0.0,0.519804158334066,scale_free,42,No influence (idealized)
39,0.8666666666666667,0.0,0.5288767002507108,scale_free,42,No influence (idealized)
40,0.8,0.0,0.5350103992431895,scale_free,42,No influence (idealized)
41,0.6666666666666666,0.0,0.5356267539325603,scale_free,42,No influence (idealized)
42,0.6666666666666666,0.0,0.5362246179812503,scale_free,42,No influence (idealized)
43,0.8,0.0,0.5421378794418127,scale_free,42,No influence (idealized)
44,0.6666666666666666,0.0,0.542540409725225,scale_free,42,No influence (idealized)
45,0.7,0.0,0.5442641974334683,scale_free,42,No influence (idealized)
46,0.6666666666666666,0.0,0.5446029381771308,scale_free,42,No influence (idealized)
47,0.7333333333333333,0.0,0.5475981833651503,scale_free,42,No influence (idealized)
48,0.8333333333333334,0.0,0.554503571197529,scale_free,42,No influence (idealized)
49,0.7,0.0,0.5558684640616034,scale_free,42,No influence (idealized)
