t,coop_rate,avg_exposure,avg_prosocial,topo,seed,label
0,0.7333333333333333,0.049886113886113886,0.4284579599870073,scale_free,42,Unstructured (idealized)
1,0.5666666666666667,0.05138558162292252,0.42827088785406386,scale_free,42,Unstructured (idealized)
2,0.7333333333333333,0.052529850992700335,0.4347560945517753,scale_free,42,Unstructured (idealized)
3,0.5666666666666667,0.05335125044233307,0.4343800783818887,scale_free,42,Unstructured (idealized)
4,0.6333333333333333,0.053881680896406776,0.4366820093637653,scale_free,42,Unstructured (idealized)
5,0.6333333333333333,0.10354719912790872,0.4389148824161857,scale_free,42,Unstructured (idealized)
6,0.6,0.1045237902992446,0.4397474359437,scale_free,42,Unstructured (idealized)
7,0.7,0.10489765970324444,0.4445550128653891,scale_free,42,Unstructured (idealized)
8,0.8333333333333334,0.10474709634994,0.45455169581276084,scale_free,42,Unstructured (idealized)
9,0.7666666666666667,0.10414286201338575,0.46158181160504463,scale_free,42,Unstructured (idealized)
10,0.5333333333333333,0.15088059997334424,0.4590676905902267,scale_free,42,Unstructured (idealized)
11,0.7,0.1489987881886628,0.4632956598725198,scale_free,42,Unstructured (idealized)
12,0.6333333333333333,0.14659599516307525,0.4647301234096775,scale_free,42,Unstructured (idealized)
13,0.6,0.1437611242473182,0.46478821970738715,scale_free,42,Unstructured (idealized)
14,0.5333333333333333,0.14057356571256502,0.46217790644949885,scale_free,42,Unstructured (idealized)
15,0.6,0.1841873852609938,0.462312569256014,scale_free,42,Unstructured (idealized)
16,0.8,0.17948530788903533,0.4704431921783335,scale_free,42,Unstructured (idealized)
17,0.7666666666666667,0.17453305734715185,0.4769965630796502,scale_free,42,Unstructured (idealized)
18,0.8333333333333334,0.16939984708669303,0.486019999520594,scale_free,42,Unstructured (idealized)
19,0.7666666666666667,0.1641691502984727,0.4921060662016428,scale_free,42,Unstructured (idealized)
20,0.8333333333333334,0.20624946091927915,0.5006762175489269,scale_free,42,Unstructured (idealized)
21,0.6666666666666666,0.2001742882743728,0.5023225976891258,scale_free,42,Unstructured (idealized)
22,0.6666666666666666,0.19400481621728477,0.5039195864251186,scale_free,42,Unstructured (idealized)
23,0.6333333333333333,0.18779178573376284,0.5041353321656984,scale_free,42,Unstructured (idealized)
24,0.7,0.18161743617813875,0.5070112722007274,scale_free,42,Unstructured (idealized)
25,0.8,0.22297927263133252,0.5138009340347056,scale_free,42,Unstructured (idealized)
26,0.7666666666666667,0.21619918449616413,0.519053572680331,scale_free,42,Unstructured (idealized)
27,0.7666666666666667,0.20941494403149677,0.5241486321665879,scale_free,42,Unstructured (idealized)
28,0.7333333333333333,0.20265611812124523,0.5277575065349237,scale_free,42,Unstructured (idealized)
29,0.8666666666666667,0.1959370841993259,0.5365914480055426,scale_free,42,Unstructured (idealized)
30,0.7333333333333333,0.2395259126886663,0.5398270378987094,scale_free,42,Unstructured (idealized)
31,0.6,0.23435418694035207,0.5376322267617483,scale_free,42,Unstructured (idealized)
32,0.6666666666666666,0.22861829510428008,0.5381699266255624,scale_free,42,Unstructured (idealized)
33,0.6666666666666666,0.22246040750014606,0.5386914954934622,scale_free,42,Unstructured (idealized)
34,0.6333333333333333,0.21598886066688577,0.5378640839619918,scale_free,42,Unstructured (idealized)
35,0.6333333333333333,0.2573319570414162,0.5370614947764653,scale_free,42,Unstructured (idealized)
36,0.7,0.2502171470721436,0.5389496499331713,scale_free,42,Unstructured (idealized)
37,0.6666666666666666,0.24279094929898862,0.5394478271018428,scale_free,42,Unstructured (idealized)
38,0.6333333333333333,0.2351528204601357,0.5385977256221209,scale_free,42,Unstructured (idealized)
39,0.9,0.22738329460399206,0.5484397938534573,scale_free,42,Unstructured (idealized)
40,0.8,0.2692692521478081,0.5539866000378535,scale_free,42,Unstructured (idealized)
41,0.7666666666666667,0.2625264875558669,0.5580336687033846,scale_free,42,Unstructured (idealized)
42,0.7333333333333333,0.25531005669358653,0.5606259919756165,scale_free,42,Unstructured (idealized)
43,0.8,0.2477824269422793,0.5658072122163481,scale_free,42,Unstructured (idealized)
44,0.7,0.24006618581272074,0.5668329958498575,scale_free,42,Unstructured (idealized)
45,0.7333333333333333,0.2830776339328056,0.5691613393076952,scale_free,42,Unstructured (idealized)
46,0.7333333333333333,0.2771051337484469,0.5714198324617976,scale_free,42,Unstructured (idealized)
47,0.7666666666666667,0.27036700894641236,0.5749439041546104,scale_free,42,Unstructured (idealized)
48,0.9,0.26304617137506453,0.5836955870299719,scale_free,42,Unstructured (idealized)
49,0.7333333333333333,0.25534163782260505,0.5855180527524062,scale_free,42,Unstructured (idealized)
